material,nominal_size,standard,series,pressure_class,OD_mm,wall_mm,ID_mm,OD_in,wall_in,ID_in,source_id
MS/carbon steel,10,ASME B36.10,SCH 80,,273.05,15.088,242.874,10.75,0.594,9.562,ASME_B36_10_2022
MS/carbon steel,12,ASME B36.10,SCH 40,,323.85,10.312,303.226,12.75,0.406,11.938,ASME_B36_10_2022
MS/carbon steel,12,ASME B36.10,SCH 80,,323.85,17.45,288.95,12.75,0.687,11.376,ASME_B36_10_2022
MS/carbon steel,14,ASME B36.10,SCH 40,,355.6,11.125,333.35,14.0,0.438,13.124,ASME_B36_10_2022
MS/carbon steel,14,ASME B36.10,SCH 80,,355.6,19.05,317.5,14.0,0.75,12.5,ASME_B36_10_2022
MS/carbon steel,16,ASME B36.10,SCH 40,,406.4,12.7,381.0,16.0,0.5,15.0,ASME_B36_10_2022
MS/carbon steel,16,ASME B36.10,SCH 80,,406.4,21.412,363.576,16.0,0.843,14.314,ASME_B36_10_2022
MS/carbon steel,18,ASME B36.10,SCH 40,,457.2,14.275,428.65,18.0,0.562,16.876,ASME_B36_10_2022
MS/carbon steel,18,ASME B36.10,SCH 80,,457.2,23.825,409.55,18.0,0.938,16.124,ASME_B36_10_2022
MS/carbon steel,20,ASME B36.10,SCH 40,,508.0,15.088,477.824,20.0,0.594,18.812,ASME_B36_10_2022
MS/carbon steel,20,ASME B36.10,SCH 80,,508.0,26.187,455.626,20.0,1.031,17.938,ASME_B36_10_2022
MS/carbon steel,22,ASME B36.10,SCH 40,,558.8,15.875,527.05,22.0,0.625,20.75,ASME_B36_10_2022
MS/carbon steel,22,ASME B36.10,SCH 80,,558.8,28.575,501.65,22.0,1.125,19.75,ASME_B36_10_2022
MS/carbon steel,24,ASME B36.10,SCH 40,,609.6,17.45,574.7,24.0,0.687,22.626,ASME_B36_10_2022
MS/carbon steel,24,ASME B36.10,SCH 80,,609.6,30.175,549.25,24.0,1.188,21.624,ASME_B36_10_2022
PVC-U,1/2,ASTM D1785,SCH 40,,21.336,2.769,15.798,0.84,0.109,0.622,ASTM_D1785
PVC-U,1/2,ASTM D1785,SCH 80,,21.336,3.734,13.868,0.84,0.147,0.546,ASTM_D1785
PVC-U,3/4,ASTM D1785,SCH 40,,26.67,2.87,20.93,1.05,0.113,0.824,ASTM_D1785
PVC-U,3/4,ASTM D1785,SCH 80,,26.67,3.912,18.846,1.05,0.154,0.742,ASTM_D1785
PVC-U,1,ASTM D1785,SCH 40,,33.401,3.378,26.645,1.315,0.133,1.049,ASTM_D1785
PVC-U,1,ASTM D1785,SCH 80,,33.401,4.547,24.307,1.315,0.179,0.957,ASTM_D1785
PVC-U,1-1/4,ASTM D1785,SCH 40,,42.164,3.556,35.052,1.66,0.14,1.38,ASTM_D1785
PVC-U,1-1/4,ASTM D1785,SCH 80,,42.164,4.851,32.462,1.66,0.191,1.278,ASTM_D1785
PVC-U,1-1/2,ASTM D1785,SCH 40,,48.26,3.683,40.894,1.9,0.145,1.61,ASTM_D1785
PVC-U,1-1/2,ASTM D1785,SCH 80,,48.26,5.08,38.1,1.9,0.2,1.5,ASTM_D1785
PVC-U,2,ASTM D1785,SCH 40,,60.325,3.912,52.501,2.375,0.154,2.067,ASTM_D1785
PVC-U,2,ASTM D1785,SCH 80,,60.325,5.537,49.251,2.375,0.218,1.939,ASTM_D1785
PVC-U,2-1/2,ASTM D1785,SCH 40,,73.025,5.156,62.713,2.875,0.203,2.469,ASTM_D1785
PVC-U,2-1/2,ASTM D1785,SCH 80,,73.025,7.01,59.005,2.875,0.276,2.323,ASTM_D1785
PVC-U,3,ASTM D1785,SCH 40,,88.9,5.486,77.928,3.5,0.216,3.068,ASTM_D1785
PVC-U,3,ASTM D1785,SCH 80,,88.9,7.62,73.66,3.5,0.3,2.9,ASTM_D1785
PVC-U,4,ASTM D1785,SCH 40,,114.3,6.02,102.26,4.5,0.237,4.026,ASTM_D1785
PVC-U,4,ASTM D1785,SCH 80,,114.3,8.56,97.18,4.5,0.337,3.826,ASTM_D1785
PVC-U,5,ASTM D1785,SCH 40,,141.3,6.553,128.194,5.563,0.258,5.047,ASTM_D1785
PVC-U,5,ASTM D1785,SCH 80,,141.3,9.525,122.25,5.563,0.375,4.813,ASTM_D1785
PVC-U,6,ASTM D1785,SCH 40,,168.275,7.112,154.051,6.625,0.28,6.065,ASTM_D1785
PVC-U,6,ASTM D1785,SCH 80,,168.275,10.973,146.329,6.625,0.432,5.761,ASTM_D1785
PVC-U,8,ASTM D1785,SCH 40,,219.075,8.179,202.717,8.625,0.322,7.981,ASTM_D1785
PVC-U,8,ASTM D1785,SCH 80,,219.075,12.7,193.675,8.625,0.5,7.625,ASTM_D1785
PVC-U,10,ASTM D1785,SCH 40,,273.05,9.271,254.508,10.75,0.365,10.02,ASTM_D1785
PVC-U,10,ASTM D1785,SCH 80,,273.05,15.088,242.874,10.75,0.594,9.562,ASTM_D1785
PVC-U,12,ASTM D1785,SCH 40,,323.85,10.312,303.226,12.75,0.406,11.938,ASTM_D1785
PVC-U,12,ASTM D1785,SCH 80,,323.85,17.475,288.9,12.75,0.688,11.374,ASTM_D1785
HDPE/PE100,DN/OD 20,ISO 4427-2:2019,SDR 11,PN 16,20,2.3,15.4,0.7874,0.0906,0.6063,ISO_4427_2_2019
HDPE/PE100,DN/OD 25,ISO 4427-2:2019,SDR 11,PN 16,25,2.3,20.4,0.9843,0.0906,0.8031,ISO_4427_2_2019
HDPE/PE100,DN/OD 32,ISO 4427-2:2019,SDR 11,PN 16,32,3.0,26.0,1.2598,0.1181,1.0236,ISO_4427_2_2019
HDPE/PE100,DN/OD 32,ISO 4427-2:2019,SDR 17,PN 10,32,2.0,28.0,1.2598,0.0787,1.1024,ISO_4427_2_2019
HDPE/PE100,DN/OD 40,ISO 4427-2:2019,SDR 11,PN 16,40,3.7,32.6,1.5748,0.1457,1.2835,ISO_4427_2_2019
HDPE/PE100,DN/OD 40,ISO 4427-2:2019,SDR 17,PN 10,40,2.4,35.2,1.5748,0.0945,1.3858,ISO_4427_2_2019
HDPE/PE100,DN/OD 50,ISO 4427-2:2019,SDR 11,PN 16,50,4.6,40.8,1.9685,0.1811,1.6063,ISO_4427_2_2019
HDPE/PE100,DN/OD 50,ISO 4427-2:2019,SDR 17,PN 10,50,3.0,44.0,1.9685,0.1181,1.7323,ISO_4427_2_2019
HDPE/PE100,DN/OD 63,ISO 4427-2:2019,SDR 11,PN 16,63,5.8,51.4,2.4803,0.2283,2.0236,ISO_4427_2_2019
HDPE/PE100,DN/OD 63,ISO 4427-2:2019,SDR 17,PN 10,63,3.8,55.4,2.4803,0.1496,2.1811,ISO_4427_2_2019
HDPE/PE100,DN/OD 75,ISO 4427-2:2019,SDR 11,PN 16,75,6.8,61.4,2.9528,0.2677,2.4173,ISO_4427_2_2019
HDPE/PE100,DN/OD 75,ISO 4427-2:2019,SDR 17,PN 10,75,4.5,66.0,2.9528,0.1772,2.5984,ISO_4427_2_2019
HDPE/PE100,DN/OD 90,ISO 4427-2:2019,SDR 11,PN 16,90,8.2,73.6,3.5433,0.3228,2.8976,ISO_4427_2_2019
HDPE/PE100,DN/OD 90,ISO 4427-2:2019,SDR 17,PN 10,90,5.4,79.2,3.5433,0.2126,3.1181,ISO_4427_2_2019
HDPE/PE100,DN/OD 110,ISO 4427-2:2019,SDR 11,PN 16,110,10.0,90.0,4.3307,0.3937,3.5433,ISO_4427_2_2019
HDPE/PE100,DN/OD 110,ISO 4427-2:2019,SDR 17,PN 10,110,6.6,96.8,4.3307,0.2598,3.811,ISO_4427_2_2019
HDPE/PE100,DN/OD 125,ISO 4427-2:2019,SDR 11,PN 16,125,11.4,102.2,4.9213,0.4488,4.0236,ISO_4427_2_2019
HDPE/PE100,DN/OD 125,ISO 4427-2:2019,SDR 17,PN 10,125,7.4,110.2,4.9213,0.2913,4.3386,ISO_4427_2_2019
HDPE/PE100,DN/OD 140,ISO 4427-2:2019,SDR 11,PN 16,140,12.7,114.6,5.5118,0.5,4.5118,ISO_4427_2_2019
HDPE/PE100,DN/OD 140,ISO 4427-2:2019,SDR 17,PN 10,140,8.3,123.4,5.5118,0.3268,4.8583,ISO_4427_2_2019
HDPE/PE100,DN/OD 160,ISO 4427-2:2019,SDR 11,PN 16,160,14.6,130.8,6.2992,0.5748,5.1496,ISO_4427_2_2019
HDPE/PE100,DN/OD 160,ISO 4427-2:2019,SDR 17,PN 10,160,9.5,141.0,6.2992,0.374,5.5512,ISO_4427_2_2019
HDPE/PE100,DN/OD 180,ISO 4427-2:2019,SDR 11,PN 16,180,16.4,147.2,7.0866,0.6457,5.7953,ISO_4427_2_2019
HDPE/PE100,DN/OD 180,ISO 4427-2:2019,SDR 17,PN 10,180,10.7,158.6,7.0866,0.4213,6.2441,ISO_4427_2_2019
HDPE/PE100,DN/OD 200,ISO 4427-2:2019,SDR 11,PN 16,200,18.2,163.6,7.874,0.7165,6.4409,ISO_4427_2_2019
HDPE/PE100,DN/OD 200,ISO 4427-2:2019,SDR 17,PN 10,200,11.9,176.2,7.874,0.4685,6.937,ISO_4427_2_2019
HDPE/PE100,DN/OD 225,ISO 4427-2:2019,SDR 11,PN 16,225,20.5,184.0,8.8583,0.8071,7.2441,ISO_4427_2_2019
HDPE/PE100,DN/OD 225,ISO 4427-2:2019,SDR 17,PN 10,225,13.4,198.2,8.8583,0.5276,7.8031,ISO_4427_2_2019
HDPE/PE100,DN/OD 250,ISO 4427-2:2019,SDR 11,PN 16,250,22.7,204.6,9.8425,0.8937,8.0551,ISO_4427_2_2019
HDPE/PE100,DN/OD 250,ISO 4427-2:2019,SDR 17,PN 10,250,14.8,220.4,9.8425,0.5827,8.6772,ISO_4427_2_2019
HDPE/PE100,DN/OD 280,ISO 4427-2:2019,SDR 11,PN 16,280,25.4,229.2,11.0236,1.0,9.0236,ISO_4427_2_2019
HDPE/PE100,DN/OD 280,ISO 4427-2:2019,SDR 17,PN 10,280,16.6,246.8,11.0236,0.6535,9.7165,ISO_4427_2_2019
HDPE/PE100,DN/OD 315,ISO 4427-2:2019,SDR 11,PN 16,315,28.6,257.8,12.4016,1.126,10.1496,ISO_4427_2_2019
HDPE/PE100,DN/OD 315,ISO 4427-2:2019,SDR 17,PN 10,315,18.7,277.6,12.4016,0.7362,10.9291,ISO_4427_2_2019
HDPE/PE100,DN/OD 355,ISO 4427-2:2019,SDR 11,PN 16,355,32.2,290.6,13.9764,1.2677,11.4409,ISO_4427_2_2019
HDPE/PE100,DN/OD 355,ISO 4427-2:2019,SDR 17,PN 10,355,21.1,312.8,13.9764,0.8307,12.315,ISO_4427_2_2019
HDPE/PE100,DN/OD 400,ISO 4427-2:2019,SDR 11,PN 16,400,36.3,327.4,15.748,1.4291,12.8898,ISO_4427_2_2019
HDPE/PE100,DN/OD 400,ISO 4427-2:2019,SDR 17,PN 10,400,23.7,352.6,15.748,0.9331,13.8819,ISO_4427_2_2019
PP-R/PPR,DN/OD 16,ISO 15874-2:2013,S 5,,16,1.8,12.4,0.6299,0.0709,0.4882,ISO_15874_2_2013
PP-R/PPR,DN/OD 16,ISO 15874-2:2013,S 3.2,,16,2.2,11.6,0.6299,0.0866,0.4567,ISO_15874_2_2013
PP-R/PPR,DN/OD 16,ISO 15874-2:2013,S 2.5,,16,2.7,10.6,0.6299,0.1063,0.4173,ISO_15874_2_2013
PP-R/PPR,DN/OD 20,ISO 15874-2:2013,S 5,,20,1.9,16.2,0.7874,0.0748,0.6378,ISO_15874_2_2013
PP-R/PPR,DN/OD 20,ISO 15874-2:2013,S 3.2,,20,2.8,14.4,0.7874,0.1102,0.5669,ISO_15874_2_2013
PP-R/PPR,DN/OD 20,ISO 15874-2:2013,S 2.5,,20,3.4,13.2,0.7874,0.1339,0.5197,ISO_15874_2_2013
PP-R/PPR,DN/OD 25,ISO 15874-2:2013,S 5,,25,2.3,20.4,0.9843,0.0906,0.8031,ISO_15874_2_2013
PP-R/PPR,DN/OD 25,ISO 15874-2:2013,S 3.2,,25,3.5,18.0,0.9843,0.1378,0.7087,ISO_15874_2_2013
PP-R/PPR,DN/OD 25,ISO 15874-2:2013,S 2.5,,25,4.2,16.6,0.9843,0.1654,0.6535,ISO_15874_2_2013
PP-R/PPR,DN/OD 32,ISO 15874-2:2013,S 5,,32,2.9,26.2,1.2598,0.1142,1.0315,ISO_15874_2_2013
PP-R/PPR,DN/OD 32,ISO 15874-2:2013,S 3.2,,32,4.4,23.2,1.2598,0.1732,0.9134,ISO_15874_2_2013
PP-R/PPR,DN/OD 32,ISO 15874-2:2013,S 2.5,,32,5.4,21.2,1.2598,0.2126,0.8346,ISO_15874_2_2013
PP-R/PPR,DN/OD 40,ISO 15874-2:2013,S 5,,40,3.7,32.6,1.5748,0.1457,1.2835,ISO_15874_2_2013
PP-R/PPR,DN/OD 40,ISO 15874-2:2013,S 3.2,,40,5.5,29.0,1.5748,0.2165,1.1417,ISO_15874_2_2013
PP-R/PPR,DN/OD 40,ISO 15874-2:2013,S 2.5,,40,6.7,26.6,1.5748,0.2638,1.0472,ISO_15874_2_2013
PP-R/PPR,DN/OD 50,ISO 15874-2:2013,S 5,,50,4.6,40.8,1.9685,0.1811,1.6063,ISO_15874_2_2013
PP-R/PPR,DN/OD 50,ISO 15874-2:2013,S 3.2,,50,6.9,36.2,1.9685,0.2717,1.4252,ISO_15874_2_2013
PP-R/PPR,DN/OD 50,ISO 15874-2:2013,S 2.5,,50,8.3,33.4,1.9685,0.3268,1.315,ISO_15874_2_2013
PP-R/PPR,DN/OD 63,ISO 15874-2:2013,S 5,,63,5.8,51.4,2.4803,0.2283,2.0236,ISO_15874_2_2013
PP-R/PPR,DN/OD 63,ISO 15874-2:2013,S 3.2,,63,8.6,45.8,2.4803,0.3386,1.8031,ISO_15874_2_2013
PP-R/PPR,DN/OD 63,ISO 15874-2:2013,S 2.5,,63,10.5,42.0,2.4803,0.4134,1.6535,ISO_15874_2_2013
PP-R/PPR,DN/OD 75,ISO 15874-2:2013,S 5,,75,6.8,61.4,2.9528,0.2677,2.4173,ISO_15874_2_2013
PP-R/PPR,DN/OD 75,ISO 15874-2:2013,S 3.2,,75,10.3,54.4,2.9528,0.4055,2.1417,ISO_15874_2_2013
PP-R/PPR,DN/OD 75,ISO 15874-2:2013,S 2.5,,75,12.5,50.0,2.9528,0.4921,1.9685,ISO_15874_2_2013
PP-R/PPR,DN/OD 90,ISO 15874-2:2013,S 5,,90,8.2,73.6,3.5433,0.3228,2.8976,ISO_15874_2_2013
PP-R/PPR,DN/OD 90,ISO 15874-2:2013,S 3.2,,90,12.3,65.4,3.5433,0.4843,2.5748,ISO_15874_2_2013
PP-R/PPR,DN/OD 90,ISO 15874-2:2013,S 2.5,,90,15.0,60.0,3.5433,0.5906,2.3622,ISO_15874_2_2013
PP-R/PPR,DN/OD 110,ISO 15874-2:2013,S 5,,110,10.0,90.0,4.3307,0.3937,3.5433,ISO_15874_2_2013
PP-R/PPR,DN/OD 110,ISO 15874-2:2013,S 3.2,,110,15.1,79.8,4.3307,0.5945,3.1417,ISO_15874_2_2013
PP-R/PPR,DN/OD 110,ISO 15874-2:2013,S 2.5,,110,18.3,73.4,4.3307,0.7205,2.8898,ISO_15874_2_2013
PP-R/PPR,DN/OD 125,ISO 15874-2:2013,S 5,,125,11.4,102.2,4.9213,0.4488,4.0236,ISO_15874_2_2013
PP-R/PPR,DN/OD 125,ISO 15874-2:2013,S 3.2,,125,17.1,90.8,4.9213,0.6732,3.5748,ISO_15874_2_2013
PP-R/PPR,DN/OD 125,ISO 15874-2:2013,S 2.5,,125,20.8,83.4,4.9213,0.8189,3.2835,ISO_15874_2_2013
PP-R/PPR,DN/OD 140,ISO 15874-2:2013,S 5,,140,12.7,114.6,5.5118,0.5,4.5118,ISO_15874_2_2013
PP-R/PPR,DN/OD 140,ISO 15874-2:2013,S 3.2,,140,19.2,101.6,5.5118,0.7559,4.0,ISO_15874_2_2013
PP-R/PPR,DN/OD 140,ISO 15874-2:2013,S 2.5,,140,23.3,93.4,5.5118,0.9173,3.6772,ISO_15874_2_2013
PP-R/PPR,DN/OD 160,ISO 15874-2:2013,S 5,,160,14.6,130.8,6.2992,0.5748,5.1496,ISO_15874_2_2013
PP-R/PPR,DN/OD 160,ISO 15874-2:2013,S 3.2,,160,21.9,116.2,6.2992,0.8622,4.5748,ISO_15874_2_2013
PP-R/PPR,DN/OD 160,ISO 15874-2:2013,S 2.5,,160,26.6,106.8,6.2992,1.0472,4.2047,ISO_15874_2_2013
